Label Index,Label Name,Category IoU,Category Dice,Category F1,split,image
0,Background,0.9923,0.9962,0.9962,train,image_14.png
1,Hat,,0.0,0.0,train,image_14.png
2,Hair,0.8813,0.9369,0.9369,train,image_14.png
3,Sunglasses,0.0,0.0,0.0,train,image_14.png
4,Upper-clothes,0.9216,0.9592,0.9592,train,image_14.png
5,Skirt,,0.0,0.0,train,image_14.png
6,Pants,0.9489,0.9738,0.9738,train,image_14.png
7,Dress,,0.0,0.0,train,image_14.png
8,Belt,0.7885,0.8818,0.8818,train,image_14.png
9,Left-shoe,0.3863,0.5573,0.5573,train,image_14.png
10,Right-shoe,0.0674,0.1263,0.1263,train,image_14.png
11,Face,0.9022,0.9486,0.9486,train,image_14.png
12,Left-leg,0.4538,0.6243,0.6243,train,image_14.png
13,Right-leg,0.1892,0.3182,0.3182,train,image_14.png
14,Left-arm,0.0734,0.1368,0.1368,train,image_14.png
15,Right-arm,0.0656,0.1231,0.1231,train,image_14.png
16,Bag,,0.0,0.0,train,image_14.png
17,Scarf,,0.0,0.0,train,image_14.png
0,Background,0.9719,0.9857,0.9857,train,image_46.png
1,Hat,,0.0,0.0,train,image_46.png
2,Hair,0.0,0.0,0.0,train,image_46.png
3,Sunglasses,0.0,0.0,0.0,train,image_46.png
4,Upper-clothes,0.878,0.935,0.935,train,image_46.png
5,Skirt,,0.0,0.0,train,image_46.png
6,Pants,0.9284,0.9629,0.9629,train,image_46.png
7,Dress,,0.0,0.0,train,image_46.png
8,Belt,,0.0,0.0,train,image_46.png
9,Left-shoe,0.4494,0.6201,0.6201,train,image_46.png
10,Right-shoe,0.2211,0.3622,0.3622,train,image_46.png
11,Face,0.8483,0.9179,0.9179,train,image_46.png
12,Left-leg,,0.0,0.0,train,image_46.png
13,Right-leg,,0.0,0.0,train,image_46.png
14,Left-arm,0.2216,0.3629,0.3629,train,image_46.png
15,Right-arm,0.0,0.0,0.0,train,image_46.png
16,Bag,,0.0,0.0,train,image_46.png
17,Scarf,,0.0,0.0,train,image_46.png
0,Background,0.9922,0.9961,0.9961,train,image_6.png
1,Hat,0.7803,0.8766,0.8766,train,image_6.png
2,Hair,0.3528,0.5216,0.5216,train,image_6.png
3,Sunglasses,,0.0,0.0,train,image_6.png
4,Upper-clothes,0.8769,0.9344,0.9344,train,image_6.png
5,Skirt,,0.0,0.0,train,image_6.png
6,Pants,0.8673,0.9289,0.9289,train,image_6.png
7,Dress,,0.0,0.0,train,image_6.png
8,Belt,0.3232,0.4885,0.4885,train,image_6.png
9,Left-shoe,0.0,0.0,0.0,train,image_6.png
10,Right-shoe,0.1168,0.2092,0.2092,train,image_6.png
11,Face,0.9149,0.9556,0.9556,train,image_6.png
12,Left-leg,0.4895,0.6573,0.6573,train,image_6.png
13,Right-leg,0.3348,0.5016,0.5016,train,image_6.png
14,Left-arm,0.4,0.5714,0.5714,train,image_6.png
15,Right-arm,0.1445,0.2525,0.2525,train,image_6.png
16,Bag,0.7209,0.8378,0.8378,train,image_6.png
17,Scarf,,0.0,0.0,train,image_6.png
0,Background,0.9773,0.9885,0.9885,train,image_7.png
1,Hat,,0.0,0.0,train,image_7.png
2,Hair,0.8441,0.9155,0.9155,train,image_7.png
3,Sunglasses,,0.0,0.0,train,image_7.png
4,Upper-clothes,,0.0,0.0,train,image_7.png
5,Skirt,,0.0,0.0,train,image_7.png
6,Pants,,0.0,0.0,train,image_7.png
7,Dress,0.8273,0.9055,0.9055,train,image_7.png
8,Belt,,0.0,0.0,train,image_7.png
9,Left-shoe,0.1564,0.2706,0.2706,train,image_7.png
10,Right-shoe,0.5823,0.736,0.736,train,image_7.png
11,Face,0.7722,0.8714,0.8714,train,image_7.png
12,Left-leg,0.7799,0.8763,0.8763,train,image_7.png
13,Right-leg,0.1959,0.3276,0.3276,train,image_7.png
14,Left-arm,0.0,0.0,0.0,train,image_7.png
15,Right-arm,0.0,0.0,0.0,train,image_7.png
16,Bag,,0.0,0.0,train,image_7.png
17,Scarf,,0.0,0.0,train,image_7.png
0,Background,0.9895,0.9947,0.9947,train,image_22.png
1,Hat,,0.0,0.0,train,image_22.png
2,Hair,0.8551,0.9219,0.9219,train,image_22.png
3,Sunglasses,,0.0,0.0,train,image_22.png
4,Upper-clothes,0.8933,0.9437,0.9437,train,image_22.png
5,Skirt,,0.0,0.0,train,image_22.png
6,Pants,0.8083,0.894,0.894,train,image_22.png
7,Dress,,0.0,0.0,train,image_22.png
8,Belt,0.0,0.0,0.0,train,image_22.png
9,Left-shoe,0.2512,0.4015,0.4015,train,image_22.png
10,Right-shoe,0.0058,0.0114,0.0114,train,image_22.png
11,Face,0.8525,0.9204,0.9204,train,image_22.png
12,Left-leg,0.0991,0.1804,0.1804,train,image_22.png
13,Right-leg,0.2525,0.4032,0.4032,train,image_22.png
14,Left-arm,0.0645,0.1211,0.1211,train,image_22.png
15,Right-arm,0.0,0.0,0.0,train,image_22.png
16,Bag,0.8664,0.9284,0.9284,train,image_22.png
17,Scarf,,0.0,0.0,train,image_22.png
0,Background,0.9868,0.9933,0.9933,train,image_17.png
1,Hat,,0.0,0.0,train,image_17.png
2,Hair,0.8849,0.939,0.939,train,image_17.png
3,Sunglasses,0.0,0.0,0.0,train,image_17.png
4,Upper-clothes,0.9672,0.9833,0.9833,train,image_17.png
5,Skirt,,0.0,0.0,train,image_17.png
6,Pants,0.9222,0.9595,0.9595,train,image_17.png
7,Dress,,0.0,0.0,train,image_17.png
8,Belt,,0.0,0.0,train,image_17.png
9,Left-shoe,0.3818,0.5526,0.5526,train,image_17.png
10,Right-shoe,0.3718,0.542,0.542,train,image_17.png
11,Face,0.8728,0.9321,0.9321,train,image_17.png
12,Left-leg,0.4626,0.6326,0.6326,train,image_17.png
13,Right-leg,0.0835,0.1541,0.1541,train,image_17.png
14,Left-arm,0.7111,0.8312,0.8312,train,image_17.png
15,Right-arm,0.6823,0.8111,0.8111,train,image_17.png
16,Bag,0.8717,0.9315,0.9315,train,image_17.png
17,Scarf,,0.0,0.0,train,image_17.png
0,Background,0.976,0.9878,0.9878,train,image_23.png
1,Hat,,0.0,0.0,train,image_23.png
2,Hair,0.8491,0.9184,0.9184,train,image_23.png
3,Sunglasses,,0.0,0.0,train,image_23.png
